OrderId,OrderItemId,ProductType,ProductItem,ProductPeriod,ProductDetails,ProductStorage,Quantity
20051,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,105
20051,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,110
20051,3,DIARY,Margarine,12 months,,FROZEN,135
20051,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,140
20051,5,SOY,Tofu,1 week,,REFRIGERATED,105
20051,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,115
20051,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,145
20051,8,FRUIT,Apples,1-2 days,,SHELF,110
20051,9,FRUIT,Bananas,Until ripe,,SHELF,135
20051,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,100
20051,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,145
20051,12,DELI_ITEM,Pudding,Package date,unopened,REFRIGERATED,105
20051,13,DIARY,"Eggs, hard cooked",,Do not freeze,FROZEN,115
20051,14,PROCESSED_MEAT,"Sausage, raw, bulk type",1-2 months,,FROZEN,140
20051,15,VEGETABLES,"Squash, summer",4-5 days,,REFRIGERATED,115
20051,16,BAKING,"Flour, whole wheat",6-8 months,opened,REFRIGERATED,135
20051,17,SOY,Tofu,1 week,,REFRIGERATED,125
20051,18,PROCESSED_POULTRY,Pieces covered with broth or gravy,1-2 days,,REFRIGERATED,115
20051,19,DELI_ITEM,Pate,1-2 months,,FROZEN,130
20051,20,VEGETABLES,Radishes,10-14 days,,REFRIGERATED,110
20051,21,FROZEN_ITEM,"Topping, whipped",6 months,,FROZEN,100
20051,22,FROZEN_ITEM,"Bread Dough, commercial",Use-by date,,FROZEN,120
20051,23,VEGETABLES,"Squash, winter",2 weeks,,REFRIGERATED,130
20051,24,BAKERY,"Pies, pecan",1-2 months,,FROZEN,135
20051,25,PASTA,"Pasta, fresh",1-2 days,,REFRIGERATED,125
20051,26,PROCESSED_POULTRY,Ground turkey or chicken,1-2 days,,REFRIGERATED,110
20051,27,BAKERY,Cheesecake,1 week,,REFRIGERATED,115
20051,28,FISH,"Caviar, fresh, in jar",,Do not freeze,FROZEN,130
20051,29,BAKERY,"Rolls, yeast, partially baked",2 months,,FROZEN,120
20051,30,FRESH_MEAT,Ground meat,3-4 months,,FROZEN,130
20051,31,BEVERAGES,"Juice in cartons, fruit drinks, punch",7-10 days,opened,REFRIGERATED,130
20051,32,FRUIT,Kiwi Fruit,3-4 days,,REFRIGERATED,145
20051,33,SHELLFISH,"Shrimp, scallops, crayfish, squid",1-2 days,,REFRIGERATED,110
20051,34,DELI_ITEM,Pudding,2 days,opened,REFRIGERATED,140
20051,35,DELI_ITEM,"Cheese, store-sliced, hard cheese such as cheddar or swiss",6 months,,FROZEN,115
20051,36,DIARY,"Cream, half-and-half",4 months,,FROZEN,145
20051,37,SHELF_ITEM,"Coffee, whole beans",2 weeks,opened,REFRIGERATED,135
20051,38,SHELF_ITEM,"Coffee, whole beans",3-4 months,,FROZEN,135
20051,39,FROZEN_ITEM,Tempeh,1-2 weeks,,THAWED,105
20052,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,120
20052,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,105
20052,3,DIARY,Margarine,12 months,,FROZEN,115
20052,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,105
20052,5,SOY,Tofu,1 week,,REFRIGERATED,120
20052,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,115
20052,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,120
20052,8,FRUIT,Apples,1-2 days,,SHELF,115
20052,9,FRUIT,Bananas,Until ripe,,SHELF,100
20052,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,110
20052,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,145
20052,12,SHELLFISH,"Shucked clams, mussels and oysters",1-2 days,,REFRIGERATED,135
20052,13,FRESH_POULTRY,"Chicken or turkey, parts",9 months,,FROZEN,130
20052,14,FROZEN_ITEM,Soy meat substitutes,3-4 days,,THAWED,135
20052,15,VEGETABLES,Asparagus,8 months,,FROZEN,130
20052,16,DELI_ITEM,Commercial brand vacuum packed dinners with USDA seal,2 weeks,,REFRIGERATED,125
20052,17,VEGETABLES,"Parsley, cilantro",1-2 months,,FROZEN,135
20052,18,SOY,Miso,,Do not freeze,FROZEN,145
20052,19,PROCESSED_POULTRY,Pieces covered with broth or gravy,1-2 days,,REFRIGERATED,110
20052,20,VEGETABLES,"Parsley, cilantro",1-2 months,,FROZEN,135
20052,21,FRESH_MEAT,"Beef, lamb, pork or veal chops, steaks,roasts",3-5 days,,REFRIGERATED,140
20052,22,SHELLFISH,Lobster tails,6 months,,FROZEN,145
20052,23,FISH,"Lean fish (pollock, ocean perch, rockfish, sea trout)",1-2 days,,REFRIGERATED,105
20052,24,VEGETABLES,Radishes,10-14 days,,REFRIGERATED,120
20052,25,SHELLFISH,Lobster tails,1-2 days,,REFRIGERATED,145
20052,26,FRESH_POULTRY,"Chicken or turkey, whole",12 months,,FROZEN,135
20052,27,DIARY,"Eggnog, commercial",3-5 days,,REFRIGERATED,105
20052,28,CRACKERS,Crackers,3-4 months,opened,FROZEN,120
20052,29,PASTA,"Pasta, fresh",1-2 days,,REFRIGERATED,115
20052,30,FROZEN_ITEM,"Shrimp, shellfish",12 months,,FROZEN,135
20053,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,105
20053,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,100
20053,3,DIARY,Margarine,12 months,,FROZEN,120
20053,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,100
20053,5,SOY,Tofu,1 week,,REFRIGERATED,100
20053,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,115
20053,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,115
20053,8,FRUIT,Apples,1-2 days,,SHELF,125
20053,9,FRUIT,Bananas,Until ripe,,SHELF,105
20053,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,120
20053,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,100
20053,12,DIARY,Pudding,Package date,unopened,REFRIGERATED,135
20053,13,DIARY,Sour cream,Do not freeze,,FROZEN,130
20053,14,FROZEN_ITEM,Bagels,1-2 weeks,,THAWED,140
20053,15,BAKERY,"Bread, flat (tortillas, pita)",4-7 days,,REFRIGERATED,120
20053,16,DIARY,Kefir (fermented milk),1 week after date,unopened,REFRIGERATED,115
20053,17,VEGETABLES,Tomatoes,2-3 days,,REFRIGERATED,120
20053,18,DELI_ITEM,"Main dishes or meals, hot or refrigerated",2-3 months,,FROZEN,145
20053,19,DELI_ITEM,Pudding,Package date,unopened,REFRIGERATED,120
20053,20,PASTA,"Pasta, fresh",1-2 days,,REFRIGERATED,125
20053,21,BEVERAGES,"Juice in cartons, fruit drinks, punch",8-12 months,,FROZEN,115
20053,22,VEGETABLES,Cucumbers,,Do not freeze,FROZEN,130
20053,23,FRESH_POULTRY,Giblets,1-2 days,,REFRIGERATED,125
20053,24,DIARY,"Cheese, soft (such as Brie, Bel Paese)",1 week,,REFRIGERATED,115
20053,25,FRESH_POULTRY,Giblets,3-4 months,,FROZEN,115
20053,26,BAKING,"Flour, whole wheat",6-8 months,opened,REFRIGERATED,110
20053,27,DIARY,"Dips, sour cream based",,Do not freeze,FROZEN,105
20053,28,VEGETABLES,"Onions, dry",10-12 months,,FROZEN,125
20053,29,PROCESSED_MEAT,"Corned beef, in pouch with pickling juices",5-7 days,,REFRIGERATED,140
20053,30,VEGETABLES,"Artichokes, whole",,Do not freeze,FROZEN,100
20053,31,PROCESSED_MEAT,"Sausage, smoked links, patties",1 week,,REFRIGERATED,140
20053,32,SHELF_ITEM,"Milk, canned evaporated",4-5 days,opened,REFRIGERATED,140
20053,33,DELI_ITEM,"Chicken, rotisserie or fried",3-4 days,,REFRIGERATED,100
20054,1,DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED,145
20054,2,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED,135
20054,3,DIARY,Margarine,12 months,,FROZEN,130
20054,4,DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED,110
20054,5,SOY,Tofu,1 week,,REFRIGERATED,115
20054,6,PROCESSED_MEAT,Bacon,1 week,,REFRIGERATED,110
20054,7,PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",6-9 months,,REFRIGERATED,130
20054,8,FRUIT,Apples,1-2 days,,SHELF,100
20054,9,FRUIT,Bananas,Until ripe,,SHELF,145
20054,10,VEGETABLES,Tomatoes,Until ripe,,SHELF,115
20054,11,SHELF_ITEM,"Rice, white or wild",2 years,unopened,SHELF,130
20054,12,DIARY,Kefir (fermented milk),1 week after date,unopened,REFRIGERATED,135
20054,13,DELI_ITEM,"Side dishes such as cooked vegetables, rice or potatoes",3-4 days,,REFRIGERATED,135
20054,14,FROZEN_ITEM,"Bread Dough, commercial",4-7 days,After baking,THAWED,120
20054,15,VEGETABLES,Bok choy,2-3days,,REFRIGERATED,125
20054,16,SHELF_ITEM,"Coffee, whole beans",2 weeks,opened,REFRIGERATED,100
20054,17,BAKING,"Flour, whole wheat",6-8 months,opened,REFRIGERATED,115
20054,18,CONDIMENTS,"Olives, black and green",2 weeks,opened,REFRIGERATED,125
