OrderId,OrderItemId,ProductType,ProductItem,ProductPeriod,ProductDetails,ProductStorage
50051,1,COOKIES,"Cookies, packaged",2 months,unopened,SHELF
50051,2,DOUGH,Ready-to-bake pie crust,Use-by date,,REFRIGERATED
50051,3,VEGETABLES,"Onions, dry",2 months,,REFRIGERATED
50051,4,BAKERY,"Pastries, danish",1 week,,REFRIGERATED
50051,5,DIARY,Pudding,2 days,opened,REFRIGERATED
50051,6,BAKING,"Cornmeal, stone ground or blue",2-3 months,opened,REFRIGERATED
50051,7,DELI_ITEM,Meats covered with gravy or broth,6 months,,FROZEN
50051,8,FROZEN_ITEM,"Sausages, uncooked",1-2 days,,THAWED
50051,9,SHELF_ITEM,"Bacon Bits, Imitation",4 months,opened,SHELF
50051,10,SHELLFISH,Live lobsters,2-3 months,,FROZEN
50051,11,CRACKERS,Crackers,3-4 months,opened,FROZEN
50051,12,PROCESSED_MEAT,"Sausage, smoked links, patties",1-2 months,,FROZEN
50052,1,SHELF_ITEM,"Toaster pastries, non-fruit fillings",6 months,unopened,SHELF
50052,2,PROCESSED_POULTRY,"Chicken nuggets, patties",1-2 days,,REFRIGERATED
50052,3,SHELF_ITEM,"Sauce mixes, nondairy (spaghetti, taco, etc.)",Use entire amount,opened,SHELF
50052,4,PROCESSED_MEAT,"Corned beef, in pouch with pickling juices",5-7 days,,REFRIGERATED
50052,5,FROZEN_ITEM,"Sausages, uncooked",1-2 months,,FROZEN
50052,6,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED
50052,7,PASTA,"Pasta, fresh",2 months,,FROZEN
50052,8,PROCESSED_MEAT,"Hot dogs, after opening",1 week,,REFRIGERATED
50052,9,FRUIT,Citrus Fruit,10 days,,SHELF
50052,10,FRUIT,"Berries, cherries",4 months,,FROZEN
50052,11,DELI_ITEM,"Main dishes or meals, hot or refrigerated",3-4 days,,REFRIGERATED
50052,12,BAKING,Baking soda,6 months,opened,SHELF
50052,13,DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED
50052,14,SHELF_ITEM,"Cereal, cook before eating (oatmeal, etc.)",6-12 months,opened,SHELF
50053,1,BAKING,"Chocolate, unsweetened and semi-sweet, solid",18-24 months,unopened,SHELF
50053,2,SHELF_ITEM,"Jams, jellies, preserves",6 months,opened,REFRIGERATED
50053,3,SHELF_ITEM,Pectin,1 month,opened,SHELF
50053,4,DIARY,"Dips, sour cream based",,Do not freeze,FROZEN
50053,5,CONDIMENTS,"Mayonnaise, commercial",2 months,opened,REFRIGERATED
50053,6,FRUIT,"Berries, cherries",1-2 days,,REFRIGERATED
50053,7,DELI_ITEM,Cheesecake,1 week,,REFRIGERATED
50053,8,FRUIT,Apricots,Until ripe,,SHELF
50053,9,BAKERY,"Cookies, bakery or homemade",2 months,,REFRIGERATED
50053,10,BAKERY,"Rolls, yeast, partially baked",2 months,,FROZEN
50053,11,FROZEN_ITEM,Ice cream,2-4 months,,FROZEN
50053,12,DELI_ITEM,"Fruit, cut",Package date,unopened,REFRIGERATED
50053,13,SHELF_ITEM,"Toaster pastries, fruit filled",6 months,unopened,SHELF
50053,14,PROCESSED_MEAT,"Sausage, raw, bulk type",1-2 months,,FROZEN
50053,15,FISH,"Lean fish (pollock, ocean perch, rockfish, sea trout)",1-2 days,,REFRIGERATED
50054,1,SHELF_ITEM,"Toaster pastries, fruit filled",6 months,unopened,SHELF
50054,2,BAKING,"Cake, Brownie, Bread Mixes",Pkg use-by date,opened,SHELF
50054,3,BAKERY,Cheesecake,1 week,,REFRIGERATED
50054,4,SHELF_ITEM,"Peanut butter, commercial",2-3 months,opened,SHELF
50054,5,FROZEN_ITEM,"Sausages, precooked",1-2 months,,FROZEN
50054,6,FRUIT,Kiwi Fruit,Until ripe,,SHELF
50054,7,FRUIT,Apples,8 months,Cooked,FROZEN
50054,8,FROZEN_ITEM,"TV Dinners, entrees,  breakfast",3 months,,FROZEN
50054,9,SHELF_ITEM,"Bacon Bits, Imitation",refer to jar,opened,REFRIGERATED
